观测历元	卫星数	X/m	σx/m	Y/m	σy/m	Z/m	σz/m	PDOP
===============================================================================================================
91290	9	-2279861.689117	0.453162	5004697.285605	1.110011	3219779.386046	0.580647	0.120410
91320	10	-2279861.764421	0.435315	5004698.740932	0.839191	3219780.372493	0.565079	0.102475
91350	10	-2279861.802510	0.444770	5004698.768631	0.860860	3219780.318517	0.579726	0.102597
91380	10	-2279861.599292	0.444998	5004698.472569	0.864787	3219780.098016	0.582411	0.102731
91410	10	-2279861.184650	0.407214	5004698.810009	0.794595	3219780.158299	0.535157	0.102876
91440	9	-2279861.435502	0.441851	5004697.653503	1.091011	3219779.372710	0.577337	0.120363
91470	10	-2279861.597473	0.436736	5004698.402236	0.859283	3219780.201584	0.578714	0.103203
91500	10	-2279861.620046	0.434317	5004698.825809	0.858120	3219780.626284	0.577896	0.103384
91530	10	-2279861.499592	0.450100	5004698.713146	0.893080	3219780.257785	0.601385	0.103578
91560	10	-2279861.359786	0.429928	5004698.511960	0.856713	3219780.283215	0.576825	0.103784
91590	10	-2279861.187296	0.445396	5004698.746522	0.891381	3219780.272775	0.600072	0.104002
91620	10	-2279861.290101	0.441355	5004697.899289	0.887154	3219779.746018	0.597113	0.104233
